symbol,output_size,window_size,data_mode,n_estimators,criterion,min_samples_leaf,max_depth,max_string_lenght:,val_score,test_score,balance_score
AAPL,3,3,2,5,gini,5,8,10000,0.4090909090909091,0.5166666666666667,0.5192307692307693
AMZN,3,7,2,5,gini,5,10,1000,0.4090909090909091,0.4666666666666667,0.46296296296296297
GOOGL,3,14,2,5,gini,5,9,10000,0.4090909090909091,0.43333333333333335,0.46153846153846156
GOOGL,7,7,2,10,entropy,5,2,10000,0.4090909090909091,0.44642857142857145,0.48
GOOGL,3,7,2,10,gini,5,5,1000,0.4090909090909091,0.4166666666666667,0.4423076923076923
AMZN,7,7,2,5,entropy,5,10,500,0.4090909090909091,0.44642857142857145,0.46296296296296297
GOOGL,3,14,2,5,gini,5,7,10000,0.4090909090909091,0.48333333333333334,0.5576923076923077
AAPL,3,14,2,5,entropy,5,7,20000,0.4090909090909091,0.5666666666666667,0.6346153846153846
MSFT,7,7,2,10,gini,5,7,500,0.4090909090909091,0.4107142857142857,0.5
GOOGL,7,3,2,100,gini,5,3,500,0.4090909090909091,0.5535714285714286,0.62
AMZN,3,3,2,100,gini,5,5,1000,0.4090909090909091,0.6333333333333333,0.5925925925925926
GOOGL,3,7,2,10,entropy,5,9,10000,0.4090909090909091,0.4,0.4423076923076923
AMZN,3,14,2,10,gini,5,3,20000,0.4090909090909091,0.5333333333333333,0.48148148148148145
TSLA,3,7,2,100,gini,5,1,10000,0.4090909090909091,0.5833333333333334,0.5862068965517241
GOOGL,3,3,2,5,gini,5,9,10000,0.4090909090909091,0.43333333333333335,0.5
GOOGL,3,7,2,5,entropy,5,5,1000,0.4090909090909091,0.4666666666666667,0.4807692307692308
MSFT,3,3,2,10,gini,5,5,20000,0.4090909090909091,0.55,0.58
GOOGL,3,7,2,5,entropy,5,6,20000,0.4090909090909091,0.5,0.5576923076923077
GOOGL,7,14,2,5,entropy,5,7,10000,0.4090909090909091,0.5535714285714286,0.5
GOOGL,7,3,2,10,entropy,5,6,1000,0.4090909090909091,0.4107142857142857,0.44
TSLA,3,3,2,10,gini,5,8,500,0.4090909090909091,0.4666666666666667,0.46551724137931033
TSLA,3,14,2,5,gini,5,1,20000,0.4090909090909091,0.45,0.43103448275862066
